City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
barrow,90,86,71.29,-156.79,26.6,39.15,3,9
ponta do sol,75,72,32.67,-17.1,60.44,14.99,10,0
hokitika,0,75,-42.72,170.97,59.02,4.25,1,3
dikson,100,96,73.51,80.55,30.16,21.39,7,6
butaritari,58,72,3.07,172.79,83.75,9.89,9,1
clyde river,40,75,70.47,-68.59,-14.8,11.41,4,10
victoria,40,72,22.29,114.16,67.33,10.29,9,1
palmetto,1,61,27.52,-82.57,76.64,8.05,1,3
sur,19,29,22.57,59.53,63.95,3.09,5,4
tuatapere,3,69,-46.13,167.68,64.0,1.99,1,3
isla mujeres,75,65,21.23,-86.73,80.92,13.87,10,0
znamenskoye,100,92,57.13,73.83,27.28,11.07,7,6
havre-saint-pierre,90,92,50.23,-63.6,15.8,16.11,3,9
sakaraha,20,67,-22.9,44.53,69.31,6.13,1,3
kostino,99,92,58.91,53.27,32.88,13.67,7,6
albany,20,45,42.6,-73.97,45.37,17.22,6,7
mataura,0,69,-46.19,168.86,64.0,1.99,1,3
jamestown,1,44,42.1,-79.24,40.1,14.99,6,7
bluff,4,67,-46.6,168.33,64.0,4.0,1,3
erzin,75,82,36.96,36.2,59.29,10.29,7,6
sibolga,0,93,1.74,98.78,72.34,3.18,1,3
parana,69,55,-31.73,-60.52,89.01,3.0,10,0
busselton,36,46,-33.65,115.33,65.91,14.34,9,1
novikovo,100,76,51.15,37.89,40.69,7.2,7,6
haines junction,69,68,60.75,-137.51,13.86,2.73,3,9
sompeta,0,50,18.93,84.6,71.83,2.04,5,4
saint-joseph,40,83,-21.37,55.62,74.88,19.46,9,1
hasaki,75,75,35.73,140.83,45.86,13.87,7,6
san cristobal,40,61,7.77,-72.22,82.4,3.36,9,1
port alfred,19,96,-33.59,26.89,66.99,3.0,1,3
tasiilaq,80,66,65.61,-37.64,12.2,2.24,3,9
cherskiy,100,92,68.75,161.3,-11.36,13.65,3,9
kapaa,90,69,22.08,-159.32,73.35,16.11,10,0
mayo,1,24,38.89,-76.51,64.96,11.41,5,4
nusaybin,100,73,37.08,41.22,54.93,23.89,7,6
ermelo,88,66,-26.53,29.98,55.67,1.74,10,0
rikitea,28,76,-23.12,-134.97,76.95,13.09,9,1
ondjiva,81,60,-17.07,15.73,73.92,5.23,10,0
east london,2,77,-33.02,27.91,75.34,1.25,1,3
coahuayana,75,74,18.73,-103.68,80.6,11.41,10,0
lompoc,90,82,34.64,-120.46,56.79,10.67,7,6
nikolskoye,40,68,59.7,30.79,29.7,15.66,8,8
kuching,40,100,1.55,110.33,75.13,2.3,9,1
georgetown,20,83,5.41,100.34,79.59,3.36,1,3
torbay,20,62,47.67,-52.73,22.84,6.93,8,8
iskandar,100,60,41.55,69.7,42.8,6.93,7,6
puerto ayora,63,70,-0.74,-90.35,82.47,8.05,10,0
